benchmark,transformation,family,dataset,replicate,pca_dim,alpha,knn,n_clusters,n_clusters_counts,ARI,AMI,NMI,rel_ARI,rel_AMI,rel_NMI,mean_knn_overlap
simulation,logp1_size_normed,delta_method,muscat,5,10,FALSE,50,8,10,0.48946220420272624,0.7064671906978078,0.7064671906978078,1.1898077216533036,1.1804239904740998,1.1804239904740998,2.6498
simulation,acosh,delta_method,muscat,5,10,TRUE,50,8,10,0.49557343355482403,0.7073039378517282,0.7073039378517282,1.2046631850772143,1.1818220970351037,1.1818220970351037,2.6706
simulation,logp_alpha,delta_method,muscat,5,10,TRUE,50,8,7,0.5196252013319087,0.6947561097738757,0.6947561097738757,1.2631293521783105,1.1608561449194628,1.1608561449194628,2.683
simulation,pearson,glm_residual,muscat,5,10,TRUE,50,8,17,0.3396733911802474,0.533586915856733,0.533586915856733,0.8256940376524592,0.8915612851861302,0.8915612851861302,2.5994
simulation,pearson_clip,glm_residual,muscat,5,10,TRUE,50,8,12,0.3921861072438663,0.6270783122939592,0.6270783122939592,0.9533444149870146,1.0477744663650321,1.0477744663650321,2.5962
simulation,pearson_clip_hvg,glm_residual,muscat,5,10,TRUE,50,8,17,0.32063030128551273,0.5371136480558371,0.5371136480558371,0.7794032000630691,0.8974540419207889,0.8974540419207889,2.5966
simulation,pearson_clip_zscore,glm_residual,muscat,5,10,TRUE,50,8,14,0.42573857365982354,0.5996408131800168,0.5996408131800168,1.0349053266967256,1.001929616640704,1.001929616640704,2.6258
simulation,pearson_clip_hvg_zscore,glm_residual,muscat,5,10,TRUE,50,8,13,0.42200726077044715,0.600770727691742,0.600770727691742,1.0258350760224861,1.0038175715441833,1.0038175715441833,2.6254
simulation,pearson_analytic,glm_residual,muscat,5,10,TRUE,50,8,18,0.30535171285112084,0.4873131633579274,0.4873131633579274,0.7422632894854729,0.8142432606577755,0.8142432606577755,2.3152
simulation,sctransform,glm_residual,muscat,5,10,TRUE,50,8,16,0.30654054084581994,0.4821346034846597,0.4821346034846597,0.7451531484279312,0.8055904932101128,0.8055904932101128,2.326
simulation,rand_quantile,glm_residual,muscat,5,10,TRUE,50,8,7,0.48630383546815614,0.6678638276178551,0.6678638276178551,1.1821302105483533,1.1159222889194267,1.1159222889194267,2.466
simulation,dino,latent_expr,muscat,5,10,FALSE,50,8,10,0.44011315780238136,0.6876099963777687,0.6876099963777687,1.0698477411702376,1.1489158258183292,1.1489158258183292,2.6044
simulation,normalisr_norm,latent_expr,muscat,5,10,FALSE,50,8,6,0.47942508999440786,0.6207460083288601,0.6207460083288601,1.1654090328768623,1.0371939275745554,1.0371939275745554,2.5402
